id_form,id_unique,gdlcode,iso_country_code,village,log_hh_size,education_cleaned,log_livestock_tlu,log_land_cultivated,off_farm_any,till_not_by_hand,external_labour,pesticide,debts_have,aidreceived,livestock_inputs_any,land_irrigated_any,log_tva,norm_hdds_lean_season,norm_growing_period,log_min_travel_time,kg_class_name,log_pop_dens,norm_gdl_country_shdi,norm_gdl_county_shdi
bf_ecd_2021,bf_ecd_2021_307_1,BFAr102,BF,BFAr102_banfora,-0.4477141732873458,pre_primary,-2.3169568820619793,0.4974537640868998,0,1,0,0,0,0,0,0,-1.0570331167462146,-1.7107911152659665,-0.7999736319939308,-0.2842898263812346,"Tropical, savannah",-0.48439816081850434,-1.0661550263984223,-0.7380663395886743
bf_ecd_2021,bf_ecd_2021_355_1,BFAr101,BF,BFAr101_tougan,-0.4428028132275669,pre_primary,-2.3169568820619793,-0.17463062863143647,0,0,0,0,0,0,0,0,0.8478517225491686,1.4583266675539517,-1.1041645894464287,0.5306963585761939,"Arid, steppe, hot",-1.0217539495112944,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_363_1,BFAr101,BF,BFAr101_dî,1.3367860032140002,pre_primary,0.2640342285659288,-0.17463062863143647,1,1,0,1,1,0,1,1,1.3812648664518494,-1.3146513924134766,-1.1578453466439285,1.0141290491838524,"Arid, steppe, hot",-0.5328318270641461,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_1024_1,BFAr102,BF,BFAr102_banfora,-0.5812991096794137,pre_primary,-2.3169568820619793,-0.598668668908439,0,0,0,0,0,0,0,0,0.31912996051110343,-0.5223719467084971,-0.7820800462614309,0.20130889290425763,"Tropical, savannah",-0.2501561068020072,-1.0661550263984223,-0.7380663395886743
bf_ecd_2021,bf_ecd_2021_373_1,BFAr101,BF,BFAr101_dî,1.2111567913496015,pre_primary,0.420263295166017,0.07341572380989722,1,1,0,1,0,0,1,1,2.0067728060502836,-0.5223719467084971,-1.1578453466439285,1.0141290491838524,"Arid, steppe, hot",-0.5328318270641461,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_485_1,BFAr101,BF,BFAr101_dî,0.10699073784865908,pre_primary,0.3918402128580125,-0.35062231646710523,0,1,0,0,1,0,1,1,1.3341175927880913,-0.1262322238560073,-1.157845346643929,0.627469948701281,"Arid, steppe, hot",-0.8131705106498295,-1.0661550263984223,-1.258546843679131
et_ari_2018,et_ari_2018_65_1,ETHr103,ET,ETHr103_kobel,-0.6527524955866572,pre_primary,0.4794597067319342,-0.10257596402577152,0,1,1,1,0,1,1,0,0.3763880831404339,-0.1262322238560073,-0.4421019173439326,0.2850911094520925,"Temperate, dry winter, warm summer",-0.3297582452666536,-0.5396057809090041,-0.6017500170887928
bf_ecd_2021,bf_ecd_2021_1151_1,BFAr102,BF,BFAr102_banfora,1.955619303270007,pre_primary,-2.3169568820619793,0.24940741164556596,0,1,1,0,0,0,0,0,-0.5467301500698334,1.062186944701462,-0.6747185318664309,0.4883100125355316,"Tropical, savannah",-0.585135253646013,-1.0661550263984223,-0.7380663395886743
bi_snv_2019,bi_snv_2019_223_1,BDIr104,BI,BDIr104_bisiga,-0.21545169880220105,pre_primary,-0.49090173811147103,0.5224269285778581,0,0,1,0,0,0,0,1,-1.106977325270887,-0.9185116695609868,0.6673003980710618,-1.1933170393827004,"Tropical, savannah",0.6267008566024762,-1.3031021868686608,-0.45304130163437734
bf_ecd_2021,bf_ecd_2021_302_1,BFAr102,BF,BFAr102_banfora,0.19016161938627044,pre_primary,0.4765711088602164,0.24940741164556596,0,1,0,1,0,0,1,0,1.9087832813196055,-0.1262322238560073,-0.7820800462614309,0.20130889290425763,"Tropical, savannah",-0.2501561068020072,-1.0661550263984223,-0.7380663395886743
